
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0317                          U4                                35   1      4   4   1 49         49 0 SWCLK_STM32         (4292-9-13)
40-0317                          U4                                35   1      5   5   1 50         50 0 WIFI_WAKE           (4635-1-13)
40-0317                          U4                                35   1      6   6   1 55         55 0                     (0-0-0)
40-0317                          U4                                35   1      7   7   1 46         46 0 SWDIO_STM32         (4292-10-13)
40-0317                          U4                                35   1      8   8   1 5           5 0 XSIG011613          (4292-8-13)
40-0317                          U4                                35   1      9   9   1 6           6 0 XSIG011611          (4292-7-13)
40-0317                          U4                                35   1     10  10   1 14         14 0 XSIG011707          (4639-2-13)
40-0317                          U4                                35   1     11  11   1 15         15 0                     (0-0-0)
40-0317                          U4                                35   1     12  12   1 16         16 0                     (0-0-0)
40-0317                          U4                                35   1     13  13   1 17         17 0                     (0-0-0)
40-0317                          U4                                35   1     14  14   1 20         20 0 SPI_NSS             (4311-1-13)
40-0317                          U4                                35   1     15  15   1 21         21 0 SPI_SCK             (4311-2-13)
40-0317                          U4                                35   1     16  16   1 22         22 0 SPI_MISO            (4311-4-13)
40-0317                          U4                                35   1     17  17   1 23         23 0 SPI_MOSI            (4311-3-13)
40-0317                          U4                                35   1     18  18   1 41         41 0 WIFI_RSTn           (4631-2-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0317                          U4                                35   1     19  19   1 42         42 0 UART_UC2WIFI        (4228-18-13)
40-0317                          U4                                35   1     20  20   1 43         43 0 UART_WIFI2UC        (4228-19-13)
40-0317                          U4                                35   1     21  21   1 44         44 0 UART_WIFI2UC_TS     (4264-4-13)
40-0317                          U4                                35   1     22  22   1 45         45 0 UART_UC2WIFI_TS     (4264-5-13)
40-0317                          U4                                35   1     23  23   1 26         26 0                     (0-0-0)
40-0317                          U4                                35   1     24  24   1 27         27 0                     (0-0-0)
40-0317                          U4                                35   1     25  25   1 57         57 0                     (0-0-0)
40-0317                          U4                                35   1     26  26   1 58         58 0                     (0-0-0)
40-0317                          U4                                35   1     27  27   1 59         59 0                     (0-0-0)
40-0317                          U4                                35   1     28  28   1 61         61 0                     (0-0-0)
40-0317                          U4                                35   1     29  29   1 62         62 0                     (0-0-0)
